id,name,category,price
1,Laptop Dell XPS 15,Electronics,1299.99
2,iPhone 13 Pro,Electronics,999.99
3,Chaise de bureau ergonomique,Furniture,249.50
4,Table de salle à manger,Furniture,399.95
5,Monitor LG UltraWide,Electronics,349.99
6,Lampe de bureau LED,Home,59.99
7,Canapé en cuir,Furniture,899.00
8,Casque audio sans fil,Electronics,199.95
9,Tapis de salon,Home,129.50
10,Tablette Samsung Galaxy,Electronics,499.99
11,Bureau en bois massif,Furniture,549.00
12,Enceinte Bluetooth,Electronics,79.99
13,Plante artificielle,Home,39.95
14,Cafetière automatique,Kitchen,149.99
15,Lit queen size,Furniture,799.00 